# Known QuestieTDB-vs-compiler divergences for Vanilla.
#
# This is a to-do list, not an approval. Only POLICY rows are permanent;
# every other row is work we still owe. Dispositions and rationale live in
# docs/questie-handover.md.
#
# Refresh with: compiler_diff.py Vanilla --update-baseline
# entityType	field	class	count	reason
Npc	spawns	VALUE	9	OPEN
Object	spawns	EMPTY_VS_ABSENT	24	POLICY
Object	spawns	VALUE	9	OPEN
Quest	extraObjectives	VALUE	7	FIX
Quest	finishedBy	EMPTY_VS_ABSENT	76	FIX
Quest	objectives	EMPTY_VS_ABSENT	1654	FIX
Quest	objectives	VALUE	2495	FIX
Quest	requiredRaces	VALUE	7	OPEN
Quest	startedBy	EMPTY_VS_ABSENT	84	FIX
