# Known QuestieTDB-vs-compiler divergences for Cata.
#
# This is a to-do list, not an approval. Only POLICY rows are permanent;
# every other row is work we still owe. Dispositions and rationale live in
# docs/questie-handover.md.
#
# Refresh with: compiler_diff.py Cata --update-baseline
# entityType	field	class	count	reason
Npc	spawns	EMPTY_VS_ABSENT	4	UNTRIAGED
Npc	spawns	VALUE	57	OPEN
Object	spawns	EMPTY_VS_ABSENT	24	POLICY
Object	spawns	VALUE	18	OPEN
Quest	questFlags	VALUE	72	UNTRIAGED
Quest	reputationReward	EMPTY_VS_ABSENT	1	UNTRIAGED
Quest	requiredRaces	VALUE	696	OPEN
